filename,type1,ind_condition
HSP_EM6_PAO1_sorted.bam,human,HumanSputum_EM6
HSP_EM13_PAO1_sorted.bam,human,HumanSputum_EM13
HSP_EM24_PAO1_sorted.bam,human,HumanSputum_EM24
HSP_EM30_PAO1_sorted.bam,human,HumanSputum_EM30
HSP_EM33_PAO1_sorted.bam,human,HumanSputum_EM33
HSP_EM35B_PAO1_sorted.bam,human,HumanSputum_EM35B
HSP_EM36_PAO1_sorted.bam,human,HumanSputum_EM36
HSP_EM37B_PAO1_sorted.bam,human,HumanSputum_EM37B
HSP_EM43_PAO1_sorted.bam,human,HumanSputum_EM43
HSP_EM48B_PAO1_sorted.bam,human,HumanSputum_EM48B
HSP_EM49 _PAO1_sorted.bam,human,HumanSputum_EM49 
HSP_EM53B_PAO1_sorted.bam,human,HumanSputum_EM53B
HSP_A_PAO1_sorted.bam,human,Human_Sputum_A
HSP_B_PAO1_sorted.bam,human,Human_Sputum_B
HSP_C_PAO1_sorted.bam,human,Human_Sputum_C
HSP_D_PAO1_sorted.bam,human,Human_Sputum_D
HSP_E_PAO1_sorted.bam,human,Human_Sputum_E
HSP_F_PAO1_sorted.bam,human,Human_Sputum_F
HSP_G_PAO1_sorted.bam,human,Human_Sputum_G
HSP_EM61_PAO1_sorted.bam,human,HumanSputum_EM61
HSP_EM55B_PAO1_sorted.bam,human,HumanSputum_EM55B
HSP_EM59_PAO1_sorted.bam,human,HumanSputum_EM59
HSP_EM60B_PAO1_sorted.bam,human,HumanSputum_EM60B
HSP_EM70_PAO1_sorted.bam,human,HumanSputum_EM70
AEC1_PAO1_sorted.bam,NB,AEC1
AEC2_PAO1_sorted.bam,NB,AEC2
AEC3_PAO1_sorted.bam,NB,AEC3
episcfm2_combined_1_PAO1_sorted.bam,Comb,episcfm2_combined_1
episcfm2_combined_2_PAO1_sorted.bam,Comb,episcfm2_combined_2
episcfm2_combined_3_PAO1_sorted.bam,Comb,episcfm2_combined_3
ana_16h_1_S16_PAO1_sorted.bam,ana16h,ana_16h_1
ana_16h_2_S17_PAO1_sorted.bam,ana16h,ana_16h_2
ana_16h_3_S18_PAO1_sorted.bam,ana16h,ana_16h_3
ana_4h_1_S13_PAO1_sorted.bam,ana4h,ana_4h_1
ana_4h_2_S14_PAO1_sorted.bam,ana4h,ana_4h_2
ana_4h_3_S15_PAO1_sorted.bam,ana4h,ana_4h_3
hne_16h_1_S10_PAO1_sorted.bam,hne16h,hne_16h_1
hne_16h_2_S11_PAO1_sorted.bam,hne16h,hne_16h_2
hne_16h_3_S12_PAO1_sorted.bam,hne16h,hne_16h_3
hne_4h_1_S4_PAO1_sorted.bam,hne4h,hne_4h_1
hne_4h_2_S5_PAO1_sorted.bam,hne4h,hne_4h_2
hne_4h_3_S6_PAO1_sorted.bam,hne4h,hne_4h_3
unt_16h_2_S5_PAO1_sorted.bam,unt16h,unt_16h_2
unt_16h_1_S4_PAO1_sorted.bam,unt16h,unt_16h_1
unt_16h_3_S6_PAO1_sorted.bam,unt16h,unt_16h_3
unt_4h_1_S1_PAO1_sorted.bam,unt4h,unt_4h_1
unt_4h_2_S2_PAO1_sorted.bam,unt4h,unt_4h_2
unt_4h_3_S3_PAO1_sorted.bam,unt4h,unt_4h_3_
